Myc_up,MAPK_induced,InductionofApoptosisviaDeathDomainReceptors,InductionofApoptosisbyDNADamage,InductionofApoptosisbyOxidativeStress,InductionofApoptosisbyExtracellularSignals,InductionofApoptosisbyIntracellularSignals,OtherGenesInvolvedinInductionofApoptosis,PositiveRegulationofAnti-apoptosis,NegativeRegulationofAnti-apoptosis,OtherGenesInvolvedinAnti-apoptosis,G1PhaseandG1/STransition,SPhaseandDNAReplication,G2PhaseandG2/MTransition,MPhase,CellCycleCheckpointandCellCycleArrest,RegulationoftheCellCycle:Abl1,NegativeRegulationoftheCellCycle
imp2,Col1a1,Bid,Abl1,Gpx1,Adora1,Cdkn1a,Ikbip,Bcl2l1,Pik3r2,Aatf,Cdk6,Cdc6,Birc5,Aurkb,Atr,Atr,Atm
Apex1,Egr1,Cradd,Aifm1,Prodh,Btk,Cul1,Acvr1b,Bre,Rtn4,Akt1,Cdkn3,Cdc7,Cdkn3,Brca2,Brca2,Aurka,Brca1
Atf4,Fos,Daxx,Atm,Rnf7,Casp8ap2,Cul2,Aifm2,Cd28,Tnfaip8,Alox12,Gpr132,Mcm2,Chek1,Ccna1,Casp3,Bcl2,Casp3
Bax,Hspa5,Dedd2,Bcl3,,Cd28,Cul3,Aifm3,Erc1,,Anxa1,Itgb1,Mcm3,Ppm1d,Ccnb1,Cdc25c,Brca2,Cdkn2a
Bcat1,Hspb1,Fadd,Brca1,,Cd38,Cul4a,Alox8,Il6,,Anxa4,Myb,Mcm4,,Cdc20,Cdk1,Ccna1,Cdkn2b
Cad,Jun,Il18,Cdkn2a,,Cd5,Cul5,Apoe,Mapk8ip2,,Api5,Skp2,Mki67,,Cdc25a,Cdk5rap1,Ccna2,Rbl1
Cbx3,Myc,Tnf,Chek2,,Cflar,Hipk2,App,Opa1,,Atf5,Slfn1,Mre11a,,Cdc25c,Cdkn1a,Ccnb1,Rbl2
Ccnb1,Trp53.,Tnfrsf10b,Cidea,,Dap,Myc,Bad,Prkaa1,,Aven,,Msh2,,Cdc6,Cdkn1b,Ccnb2,Trp53
Ccnd2,0,,Cideb,,Dap3,Sart1.,Bak1,Rasa1,,Bag1,,Rad17,,Cdk1,Cdkn2a,Ccnc,Trp63
Cct5,,,Dyrk2,,Dapk1,,Bax,,,Bag3,,Rad51,,Cdk2,Cdkn2b,Ccnd1,
Cdc25a,,,Mbd4,,Dpf2,,Bbc3,,,Bag4,,,,Nek2,Cdkn3,Ccnd2,
Cdk4,,,Msh6,,Fastk,,Bcl10,,,Bcl2,,,,Rad21,Chek1,Ccnd3,
Chek1,,,Pcbp4,,Mapk9,,Bcl2l11,,,Bcl2a1a,,,,Ran,Chek2,Ccne1,
Cks2,,,Pml,,Ndufa13,,Bcl2l13,,,Bcl2l1,,,,Shc1,Cks1b,Ccnf,
Ybx3,,,Sfn,,Pdcd6,,Bclaf1,,,Bcl2l10,,,,Smc1a,Ddit3,Cdc20,
Cstb,,,Trp53,,Prkca,,Bik,,,Bcl2l2,,,,Stag1,Dst,Cdc25c,
Ctsc,,,Trp63,,Ripk3,,Bnip1,,,Bdnf,,,,Stmn1,Gadd45a,Cdc6,
Ddx10,,,Trp73,,Spn,,Bnip3,,,Becn1,,,,Terf1,Hus1,Cdk1,
Dkc1,,,,,Timp3,,Bnip3l,,,Bfar,,,,Wee1.,Mad2l1,Cdk4,
E2f1,,,,,Tnfrsf25,,Bok,,,Birc2,,,,,Mdm2,Cdk6,
Eif4a1,,,,,,,Casp3,,,Birc3,,,,,Msh2,Cdkn1a,
Eif4b,,,,,,,Casp4,,,Birc5,,,,,Nbn,Cks1b,
Eif4e,,,,,,,Casp6,,,Birc6,,,,,Notch2,E2f1,
Eno1,,,,,,,Cd2,,,Birc7,,,,,Pkd1,E2f2,
Exosc8,,,,,,,Cd27,,,Bnip1,,,,,Pmp22,E2f3,
Fasn,,,,,,,Cd70,,,Bnip2,,,,,Ppm1d,E2f4,
Gnl3,,,,,,,Cdkn1b,,,Bnip3,,,,,Rad9a,Gadd45a,
Hk2,,,,,,,Cebpb,,,Braf,,,,,Rb1,Itgb1,
Hnrnpa1,,,,,,,Cidec,,,Casp2,,,,,Sfn,Rad9a,
Hnrnpa2b1,,,,,,,Col4a3,,,Cbx4,,,,,Slfn1,Ran,
Lta4h,,,,,,,Dapk2,,,Ccl12,,,,,Smc1a,Rb1,
Mat2a,,,,,,,Dapk3,,,Cd27,,,,,Tsg101.,Sfn,
Mgst1,,,,,,,Dcc,,,Cd40lg,,,,,,Shc1,
Msh2,,,,,,,Ddx20,,,Cebpb,,,,,,Skp2,
Mthfd1,,,,,,,Dedd,,,Cfdp1,,,,,,Tfdp1,
Nap1l1,,,,,,,Diablo,,,Cfl1,,,,,,,
Nbn,,,,,,,Ei24,,,Cflar,,,,,,,
Ncl,,,,,,,Ercc2,,,Cryaa,,,,,,,
Nme1,,,,,,,Ercc3,,,Cryab,,,,,,,
Nolc1,,,,,,,Ern1,,,Dad1,,,,,,,
Npm1,,,,,,,Ern2,,,Ddah2,,,,,,,
Odc1,,,,,,,Fas,,,Dhcr24,,,,,,,
Pa2g4,,,,,,,Fasl,,,Eef1a2,,,,,,,
Paics,,,,,,,Fem1b,,,Faim,,,,,,,
Pcna,,,,,,,Foxo3,,,Faim2,,,,,,,
Phb,,,,,,,Hrk,,,Fas,,,,,,,
Pold2,,,,,,,Htatip2,,,Foxo1,,,,,,,
Ppat,,,,,,,Htt,,,Gdnf,,,,,,,
Psmg1,,,,,,,Ifna2,,,Gfral,,,,,,,
Pten,,,,,,,Ifnb1,,,Glo1,,,,,,,
Pycr1,,,,,,,Ikbkg,,,Gstp1,,,,,,,
Rpl13,,,,,,,Il19,,,Hbxip,,,,,,,
Rpl19,,,,,,,Inha,,,Hdac1,,,,,,,
Rpl23,,,,,,,Inhba,,,Hdac3,,,,,,,
Rpl27a,,,,,,,Jmy,,,Hgf,,,,,,,
Rpl5,,,,,,,Lalba,,,Hipk3,,,,,,,
Rps5,,,,,,,Lck,,,Hsp90b1,,,,,,,
Shmt1,,,,,,,Lta,,,Hspa1a,,,,,,,
Snrpb,,,,,,,Mal,,,Hspa9,,,,,,,
Srm,,,,,,,Map3k10,,,Hspb1,,,,,,,
Srsf1,,,,,,,Mapk1,,,Htatip2,,,,,,,
Tert,,,,,,,Ndufs3,,,Htt,,,,,,,
Top1,,,,,,,Ngfr,,,Ier3,,,,,,,
Trp53,,,,,,,Nlrp1a,,,Igf1,,,,,,,
Tpi1,,,,,,,Nlrp3,,,Igf1r,,,,,,,
